Frame,10nia.csv_Upright_Rate,50nia.csv_Upright_Rate,100nia.csv_Upright_Rate,200nia.csv_Upright_Rate
346,0.2,0.36,0.57,0.7
347,0.3,0.46,0.55,0.67
348,0.4,0.52,0.62,0.71
349,0.5,0.58,0.65,0.735
350,0.5,0.52,0.67,0.66
351,0.3,0.5,0.63,0.71
352,0.6,0.6,0.62,0.68
353,0.7,0.62,0.67,0.69
354,0.7,0.6,0.63,0.675
355,0.6,0.54,0.65,0.63
356,0.6,0.58,0.6,0.65
357,0.7,0.48,0.64,0.665
358,0.7,0.5,0.67,0.7
359,0.4,0.5,0.61,0.64
360,0.7,0.58,0.62,0.7
361,0.5,0.5,0.56,0.685
362,0.5,0.48,0.61,0.655
363,0.5,0.46,0.65,0.65
364,0.4,0.52,0.66,0.655
365,0.6,0.58,0.65,0.675
366,0.5,0.6,0.59,0.62
367,0.6,0.6,0.63,0.645
368,0.5,0.5,0.52,0.64
369,0.6,0.52,0.66,0.57
370,0.6,0.54,0.64,0.675
371,0.6,0.56,0.68,0.645
372,0.5,0.52,0.64,0.71
373,0.5,0.52,0.64,0.645
374,0.3,0.56,0.66,0.605
375,0.3,0.46,0.67,0.67
376,0.4,0.4,0.5,0.66
377,0.4,0.44,0.67,0.68
378,0.6,0.5,0.65,0.64
379,0.5,0.4,0.67,0.655
380,0.5,0.4,0.7,0.58
381,0.7,0.5,0.62,0.65
382,0.7,0.44,0.67,0.61
383,0.4,0.42,0.57,0.685
384,0.5,0.38,0.6,0.655
385,0.7,0.36,0.56,0.61
386,0.7,0.4,0.6,0.66
387,0.7,0.44,0.58,0.695
388,0.6,0.58,0.62,0.675
389,0.5,0.52,0.54,0.635
390,0.5,0.5,0.6,0.64
391,0.5,0.52,0.58,0.675
392,0.5,0.5,0.58,0.645
393,0.6,0.64,0.57,0.66
394,0.4,0.56,0.53,0.685
395,0.6,0.44,0.56,0.65
396,0.8,0.48,0.48,0.71
397,0.5,0.54,0.6,0.705
398,0.5,0.6,0.61,0.74
399,0.6,0.6,0.55,0.71
400,0.3,0.62,0.54,0.68
401,0.5,0.6,0.56,0.68
402,0.6,0.52,0.59,0.69
403,0.6,0.64,0.59,0.67
404,0.4,0.6,0.61,0.625
405,0.4,0.62,0.58,0.63
406,0.1,0.6,0.57,0.655
407,0.4,0.54,0.54,0.7
408,0.3,0.48,0.55,0.665
409,0.2,0.6,0.58,0.69
410,0.4,0.36,0.56,0.69
411,0.3,0.54,0.57,0.705
412,0.5,0.56,0.58,0.655
413,0.5,0.5,0.58,0.71
414,0.5,0.52,0.56,0.625
415,0.3,0.52,0.59,0.72
416,0.4,0.54,0.52,0.695
417,0.5,0.48,0.6,0.685
418,0.2,0.54,0.56,0.66
419,0.5,0.44,0.65,0.695
420,0.5,0.56,0.63,0.68
421,0.6,0.42,0.67,0.575
422,0.6,0.42,0.65,0.6
423,0.6,0.38,0.61,0.6
424,0.5,0.44,0.62,0.64
425,0.5,0.46,0.62,0.595
426,0.8,0.46,0.61,0.65
427,0.5,0.46,0.63,0.6
428,0.5,0.46,0.63,0.68
429,0.6,0.48,0.61,0.68
430,0.3,0.5,0.63,0.655
431,0.3,0.5,0.58,0.59
432,0.5,0.36,0.6,0.685
433,0.5,0.48,0.57,0.665
434,0.7,0.54,0.55,0.69
435,0.3,0.42,0.58,0.685
436,0.5,0.52,0.63,0.705
437,0.2,0.48,0.64,0.73
438,0.4,0.34,0.64,0.66
439,0.4,0.38,0.72,0.705
440,0.5,0.44,0.61,0.64
441,0.6,0.46,0.65,0.675
442,0.4,0.5,0.7,0.68
443,0.2,0.44,0.65,0.68
444,0.5,0.4,0.61,0.645
445,0.5,0.42,0.67,0.655
446,0.5,0.38,0.63,0.66
447,0.3,0.44,0.66,0.65
448,0.8,0.42,0.7,0.67
449,0.8,0.42,0.57,0.61
450,0.7,0.44,0.64,0.63
451,0.5,0.46,0.69,0.63
452,0.6,0.38,0.67,0.61
453,0.7,0.36,0.66,0.655
454,0.5,0.48,0.66,0.705
455,0.6,0.52,0.55,0.685
456,0.5,0.46,0.61,0.675
457,0.1,0.52,0.65,0.64
458,0.4,0.48,0.59,0.67
459,0.3,0.46,0.65,0.675
460,0.4,0.42,0.59,0.65
461,0.3,0.42,0.6,0.64
462,0.7,0.4,0.67,0.705
463,0.5,0.44,0.59,0.65
464,0.4,0.46,0.6,0.635
465,0.5,0.52,0.59,0.665
466,0.4,0.4,0.63,0.68
467,0.5,0.46,0.64,0.61
468,0.5,0.52,0.57,0.675
469,0.5,0.48,0.58,0.655
470,0.5,0.56,0.62,0.635
471,0.4,0.46,0.6,0.615
472,0.5,0.5,0.62,0.645
473,0.6,0.44,0.59,0.695
474,0.6,0.5,0.57,0.675
475,0.4,0.44,0.59,0.67
476,0.4,0.52,0.6,0.645
477,0.3,0.56,0.62,0.675
478,0.5,0.42,0.61,0.655
479,0.8,0.52,0.71,0.66
480,0.8,0.46,0.6,0.585
481,0.5,0.5,0.6,0.61
482,0.8,0.48,0.6,0.61
483,0.6,0.6,0.53,0.67
484,0.4,0.52,0.5,0.67
485,0.7,0.46,0.53,0.665
486,0.5,0.62,0.6,0.66
487,0.4,0.64,0.66,0.67
488,0.6,0.5,0.59,0.63
489,0.5,0.46,0.59,0.705
490,0.3,0.46,0.59,0.655
491,0.3,0.46,0.6,0.675
492,0.2,0.56,0.66,0.675
493,0.4,0.34,0.63,0.66
494,0.4,0.4,0.58,0.665
495,0.5,0.44,0.58,0.675
496,0.4,0.46,0.57,0.63
497,0.5,0.36,0.58,0.6
498,0.6,0.36,0.62,0.64
499,0.8,0.36,0.62,0.675
