Frame,10sds.csv_Upright_Rate,50sds.csv_Upright_Rate,100sds.csv_Upright_Rate,200sds.csv_Upright_Rate
445,0.0,0.34,0.54,0.66
446,0.0,0.44,0.52,0.6
447,0.0,0.4,0.5,0.62
448,0.0,0.32,0.45,0.645
449,0.0,0.3,0.5,0.65
450,0.0,0.26,0.39,0.69
451,0.0,0.4,0.43,0.655
452,0.2,0.32,0.46,0.675
453,0.0,0.42,0.48,0.62
454,0.1,0.28,0.46,0.595
455,0.0,0.34,0.5,0.55
456,0.0,0.34,0.41,0.64
457,0.0,0.34,0.46,0.64
458,0.1,0.42,0.43,0.595
459,0.0,0.36,0.37,0.62
460,0.0,0.24,0.47,0.61
461,0.0,0.36,0.48,0.63
462,0.0,0.38,0.53,0.6
463,0.0,0.36,0.45,0.665
464,0.0,0.44,0.48,0.625
465,0.0,0.32,0.53,0.615
466,0.0,0.36,0.51,0.595
467,0.0,0.38,0.47,0.63
468,0.0,0.34,0.52,0.625
469,0.0,0.34,0.5,0.61
470,0.0,0.38,0.52,0.625
471,0.0,0.36,0.52,0.595
472,0.0,0.36,0.52,0.69
473,0.0,0.34,0.57,0.635
474,0.0,0.34,0.51,0.65
475,0.0,0.32,0.62,0.66
476,0.0,0.38,0.55,0.675
477,0.0,0.38,0.51,0.675
478,0.0,0.4,0.51,0.605
479,0.0,0.42,0.52,0.635
480,0.0,0.4,0.53,0.635
481,0.0,0.42,0.54,0.625
482,0.0,0.4,0.52,0.63
483,0.0,0.4,0.52,0.66
484,0.0,0.36,0.49,0.625
485,0.0,0.38,0.56,0.645
486,0.0,0.44,0.48,0.645
487,0.0,0.38,0.51,0.555
488,0.0,0.4,0.49,0.63
489,0.0,0.36,0.56,0.665
490,0.0,0.26,0.52,0.62
491,0.0,0.36,0.61,0.665
492,0.3,0.36,0.61,0.6
493,0.4,0.28,0.56,0.63
494,0.1,0.4,0.54,0.655
495,0.1,0.4,0.53,0.68
496,0.1,0.34,0.56,0.62
497,0.1,0.4,0.51,0.615
498,0.0,0.38,0.46,0.615
499,0.0,0.4,0.45,0.655
